id,review_1st,review_2nd,description_1st,description_2nd,overview_1st,overview_2nd,country,language,director,votes,reviews_from_critics,popularity,genre_1,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5,recommendation6
tt0105399,3.4127321,11.39627,20.171097,-5.861655,13.073534,2.0696013,Hong Kong,Cantonese,"Ringo Lam, Hark Tsui",6.35,47.0,10.222076,Action,tt0103950,tt0108656,tt0098019,,,
tt0399327,3.8748982,12.142351,21.280651,-1.6301235,10.5422735,1.3399576,"USA, Germany",English,Les Mayfield,5.5,70.0,11.127884,Action,tt0264472,,,,,
tt0168043,2.5199363,12.673817,21.344057,-1.3411729,10.472124,0.117468044,Hong Kong,Cantonese,"Tat-Chi Yau, Johnnie To",6.9,15.0,1.468044,Action,tt0220644,tt0374184,,,,
tt0384177,1.7641097,12.150906,18.194006,-1.175818,11.079534,3.8995697,France,"French, English, Italian, Khmer",Bertrand Tavernier,5.8,23.0,0.605332,Drama,tt0081182,,,,,
tt0084732,3.9866238,9.585474,22.35406,-2.6264083,11.189461,0.9350616,USA,English,Robert Benton,6.1,26.0,3.764354,Crime,tt0119594,tt0166943,,,,
tt0034182,4.904982,12.174802,21.201319,-3.1653762,10.792874,2.6591964,USA,English,Henry Hathaway,6.65,14.0,0.977858,Adventure,tt0035369,tt0035244,,,,
tt0113278,3.8243594,13.269814,19.04678,-2.5697944,11.585576,-0.42456773,USA,English,Albert Pyun,5.949999999999999,16.0,1.037592,Action,tt0102202,,,,,
tt0831888,2.7220917,13.534211,19.660776,-1.5701767,9.946698,1.4628768,Japan,Japanese,Michael Arias,7.65,59.0,7.020628,Animation,tt0452039,tt0293416,,,,
tt0211718,2.3247244,12.289713,18.65202,-4.5639296,10.733395,2.6121414,"Spain, France, Germany, Japan","French, Spanish",Tony Gatlif,7.1,30.0,0.264672,Musical,,,,,,
tt0119086,3.2466662,10.008717,20.689108,-3.5852654,11.791101,0.7492685,USA,English,Marco Brambilla,5.5,48.0,3.714997,Action,,,,,,
tt0120408,1.9870349,11.534046,21.911467,-3.4407427,8.133011,3.5643613,Japan,Japanese,Shôhei Imamura,6.85,44.0,1.094509,Drama,,,,,,
tt0029120,2.2078412,9.766845,19.651077,-4.100683,13.8108015,1.8381556,USA,English,"Richard Boleslawski, Dorothy Arzner",6.75,8.0,1.72531,Comedy,tt0048527,,,,,
tt0024894,5.3970065,9.819616,20.26575,-1.882752,12.071495,0.099942386,USA,"English, Latin, Hungarian",Edgar G. Ulmer,6.75,93.0,8.053913,Adventure,tt0034398,tt0021814,,,,
tt0119434,2.8914573,11.512966,18.398012,-3.7323344,11.139667,4.9642444,USA,English,Andrew Gallerani,4.9,4.0,0.700719,Comedy,tt0127276,,,,,
tt0072933,0.59062207,11.6783695,19.034039,-5.413305,13.301184,3.1224298,France,French,Francis Giacobetti,4.85,24.0,3.476536,Drama,tt0071464,,,,,
tt0221218,2.3139944,10.23158,20.344076,-5.6978045,12.156824,2.5935555,USA,"English, Spanish, Greek",Daniel Sackheim,5.6,101.0,6.418936,Crime,tt0118744,tt0880578,tt0486822,,,
tt0083798,5.203219,9.964758,17.510609,-3.2038422,11.26094,1.1308478,USA,English,Carl Reiner,6.7,45.0,5.515136,Comedy,tt0082894,tt0100212,tt0089628,,,
tt0369295,-0.2699652,10.855992,17.9047,-4.073338,10.490305,4.820281,USA,English,"Phillip J. Bartell, Alan Brown",5.5,8.0,0.066548,Comedy,tt0367631,,,,,
tt0035244,5.470303,12.3073225,20.628616,-1.4025161,8.017189,2.158034,USA,English,Cecil B. DeMille,6.800000000000001,26.0,1.076119,Action,tt0035369,,,,,
tt0091818,3.9537992,9.785867,17.899239,-2.1942291,8.092413,0.87383443,"Mexico, USA",English,Albert Pyun,5.85,29.0,0.317742,Action,tt0097138,,,,,
tt0030287,3.0141249,12.9053755,19.621313,-4.810532,13.16539,1.7316201,USA,"English, French",William Wyler,7.35,51.0,11.277226,Drama,,,,,,
tt0046878,3.9016395,9.8582735,21.249544,-2.1610496,11.732438,0.628491,USA,English,André De Toth,6.95,47.0,3.2125,Crime,,,,,,
tt0161292,3.9105742,13.256083,18.415018,-5.310999,12.459877,3.632751,Denmark,"Danish, Serbian",Nicolas Winding Refn,6.949999999999999,37.0,2.996721,Crime,tt0396184,,,,,
tt0002461,2.9007962,11.341978,18.143154,-1.8643097,9.7140465,3.2038393,"France, USA",English,"André Calmettes, James Keane",2.75,1.0,0.05131,Drama,tt0006206,,,,,
tt0026942,2.6157293,10.264638,19.121798,-4.0502367,11.672297,3.0184696,USA,"English, French, Russian",William A. Seiter,6.6,20.0,5.424847,Comedy,,,,,,
tt0435286,3.7504275,13.241996,19.325277,0.5533301,8.283359,0.8793436,"Japan, USA",English,"Kunihiko Yuyama, Darren Dunstan",6.05,2.0,6.4218660000000005,Animation,,,,,,
tt0337876,2.3948605,10.482834,21.371744,-3.8562965,12.530758,2.7007196,"UK, France, Germany, USA",English,Jonathan Glazer,6.0,174.0,6.771414999999998,Drama,,,,,,
tt0092644,2.8300061,11.209668,21.657581,-1.211698,10.4680605,1.345279,USA,English,Tony Scott,6.3,61.0,9.200336,Action,tt0109254,tt0099044,tt0104714,,,
tt0052600,4.5856814,14.3867855,18.028738,-1.3138725,12.121168,4.538556,Soviet Union,Russian,Grigoriy Chukhray,8.149999999999999,43.0,3.434242,Drama,tt0053106,,,,,
tt0158714,3.1830902,14.088109,21.16462,-3.848197,8.101599,3.4861257,Japan,"Japanese, English",Toshiya Fujita,7.75,116.0,7.2284570000000015,Action,,,,,,
tt0097498,4.8707128,12.85375,21.136208,-3.313688,11.710133,1.3222291,South Africa,English,William A. Levey,3.2,39.0,0.001021,Horror,tt0090837,tt0090094,tt0090627,,,
tt0089715,0.10962094,10.904929,19.608631,-3.125427,12.520363,1.4141258,USA,English,Robert Altman,4.95,18.0,2.354286,Comedy,tt0078481,tt0116745,,,,
tt0085750,4.6207848,12.193997,19.537043,-1.204454,9.028081,0.8932283,USA,English,Joe Alves,3.95,90.0,16.603041,Adventure,,,,,,
tt0227277,1.5368265,12.872275,21.013632,-1.1820432,10.850703,0.99444056,"Argentina, Spain, Uruguay",Spanish,Marcelo Piñeyro,6.800000000000001,18.0,2.169971,Crime,,,,,,
tt0043469,4.3392606,13.957479,18.4601,-0.7181558,8.987751,2.2413201,USA,English,Raoul Walsh,6.05,12.0,6.5786880000000005,Action,tt0046719,tt0039737,,,,
tt0036376,6.028087,9.708488,19.262117,-4.672231,12.266284,1.5145414,USA,English,Robert Siodmak,6.449999999999999,59.0,5.343065,Drama,tt0034902,,,,,
tt0082892,5.1028957,11.413971,18.305227,-4.371331,10.97339,3.2255428,Sweden,Swedish,"Jan Gissberg, Stig Lasseby",6.35,,0.545722,Animation,,,,,,
tt0031742,2.9829516,12.079616,19.942028,-4.552322,11.565966,0.83403563,USA,English,Lewis Milestone,7.6,15.0,0.995919,Drama,tt0032728,,,,,
tt0120794,5.273402,11.956409,18.711336,-2.600878,9.840209,3.439326,USA,"English, Hebrew","Brenda Chapman, Steve Hickner",7.0,107.0,11.898185,Animation,tt0138749,tt0118617,tt0114148,,,
tt0072342,2.0975196,12.117672,18.466858,-5.4434156,12.782932,3.5727787,"France, Italy",French,Claude Chabrol,3.25,11.0,0.0,Drama,tt0064106,tt0164368,,,,
tt0048682,1.3110725,11.3265295,21.923244,-1.7876036,11.810482,-0.19802015,USA,English,Roger Corman,3.45,15.0,1.36807,Adventure,tt0049370,tt0052969,,,,
tt0098157,5.640686,10.172281,19.809874,-2.587933,12.444716,1.4490507,"Belgium, France, Netherlands","French, English",Emmanuel Kervyn,4.550000000000001,48.0,0.003553,Comedy,tt0117609,tt0087998,tt0234748,,,
