id,review_1st,review_2nd,description_1st,description_2nd,overview_1st,overview_2nd,votes,reviews_from_critics,popularity,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5,recommendation6
tt0038965,3.3240168,12.474213,21.676123,-1.7485377,11.242948,1.2149082,6.55,27.0,1.194854,tt0041487,,,,,
tt0041487,0.72622937,12.790117,21.0649,-2.0869937,10.730624,2.1279082,6.45,18.0,1.58585,tt0038965,tt0040087,,,,
